Time,Global Mean Sea Level
1/15/1900,-128.9
2/15/1900,-130.8
3/15/1900,-129.5
4/15/1900,-129.8
5/15/1900,-127.3
6/15/1900,-128.2
7/15/1900,-130.5
8/15/1900,-128.7
9/15/1900,-135.1
10/15/1900,-130.2
11/15/1900,-132.1
12/15/1900,-130.1
1/15/1901,-132.8
2/15/1901,-134.7
3/15/1901,-135
4/15/1901,-131
5/15/1901,-135
6/15/1901,-133.7
7/15/1901,-136.2
8/15/1901,-131
9/15/1901,-127
10/15/1901,-124.1
11/15/1901,-122.6
12/15/1901,-123.3
1/15/1902,-122.6
2/15/1902,-122.1
3/15/1902,-123.3
4/15/1902,-128
5/15/1902,-132.3
6/15/1902,-132.9
7/15/1902,-131.7
8/15/1902,-127.8
9/15/1902,-124.4
10/15/1902,-121.8
11/15/1902,-121.3
12/15/1902,-122.8
1/15/1903,-121.2
2/15/1903,-121.7
3/15/1903,-115
4/15/1903,-110.3
5/15/1903,-109.8
6/15/1903,-110.6
7/15/1903,-116.2
8/15/1903,-119.5
9/15/1903,-123.6
10/15/1903,-120.6
11/15/1903,-124.2
12/15/1903,-121.5
1/15/1904,-125.9
2/15/1904,-118.2
3/15/1904,-122.9
4/15/1904,-123.3
5/15/1904,-128.3
6/15/1904,-126.6
7/15/1904,-130.2
8/15/1904,-131.2
9/15/1904,-132.6
10/15/1904,-131.6
11/15/1904,-132.3
12/15/1904,-134.8
1/15/1905,-138
2/15/1905,-140.1
3/15/1905,-139.6
4/15/1905,-138.1
5/15/1905,-136
6/15/1905,-134.4
7/15/1905,-132
8/15/1905,-128.1
9/15/1905,-125.4
10/15/1905,-127.6
11/15/1905,-130.7
12/15/1905,-134.8
1/15/1906,-131.8
2/15/1906,-129.5
3/15/1906,-128.1
4/15/1906,-128.9
5/15/1906,-125.5
6/15/1906,-124.1
7/15/1906,-122.3
8/15/1906,-125.4
9/15/1906,-124.9
10/15/1906,-125.7
11/15/1906,-127.6
12/15/1906,-128.8
1/15/1907,-129.5
2/15/1907,-126.4
3/15/1907,-125.2
4/15/1907,-122.8
5/15/1907,-125.1
6/15/1907,-123.2
7/15/1907,-126.4
8/15/1907,-123.8
9/15/1907,-131.7
10/15/1907,-133.1
11/15/1907,-137.6
12/15/1907,-134.5
1/15/1908,-131.1
2/15/1908,-129.1
3/15/1908,-129.2
4/15/1908,-131.4
5/15/1908,-132.5
6/15/1908,-127.9
7/15/1908,-127.3
8/15/1908,-124.9
9/15/1908,-130.1
10/15/1908,-134.3
11/15/1908,-136.3
12/15/1908,-135.4
1/15/1909,-127.7
2/15/1909,-125.1
3/15/1909,-120.6
4/15/1909,-123.4
5/15/1909,-126.2
6/15/1909,-130.8
7/15/1909,-129
8/15/1909,-129.8
9/15/1909,-126.3
10/15/1909,-126.4
11/15/1909,-124.5
12/15/1909,-125.9
1/15/1910,-127.3
2/15/1910,-130.6
3/15/1910,-129.9
4/15/1910,-129.5
5/15/1910,-124.7
6/15/1910,-124
7/15/1910,-121.8
8/15/1910,-124.4
9/15/1910,-124.4
10/15/1910,-126.4
11/15/1910,-126.6
12/15/1910,-127.4
1/15/1911,-127.4
2/15/1911,-123.9
3/15/1911,-121.1
4/15/1911,-120.6
5/15/1911,-121.8
6/15/1911,-121.2
7/15/1911,-120.1
8/15/1911,-114.1
9/15/1911,-111.2
10/15/1911,-108.1
11/15/1911,-112.7
12/15/1911,-114.5
1/15/1912,-121.9
2/15/1912,-123.7
3/15/1912,-127.2
4/15/1912,-127.1
5/15/1912,-126
6/15/1912,-120.7
7/15/1912,-119.9
8/15/1912,-118.6
9/15/1912,-119.1
10/15/1912,-118.7
11/15/1912,-116.7
12/15/1912,-114.4
1/15/1913,-119.8
2/15/1913,-123.2
3/15/1913,-128.2
4/15/1913,-127.7
5/15/1913,-126
6/15/1913,-120.7
7/15/1913,-117.2
8/15/1913,-114.3
9/15/1913,-114
10/15/1913,-114.8
11/15/1913,-110.8
12/15/1913,-116
1/15/1914,-110.9
2/15/1914,-117
3/15/1914,-115.3
4/15/1914,-118.1
5/15/1914,-116.8
6/15/1914,-119.9
7/15/1914,-119.7
8/15/1914,-122.5
9/15/1914,-117
10/15/1914,-111.8
11/15/1914,-99
12/15/1914,-88.6
1/15/1915,-83.7
2/15/1915,-85.2
3/15/1915,-93.1
4/15/1915,-102.3
5/15/1915,-108.5
6/15/1915,-111.1
7/15/1915,-113.6
8/15/1915,-114.4
9/15/1915,-115.4
10/15/1915,-115.2
11/15/1915,-109.7
12/15/1915,-110
1/15/1916,-103.7
2/15/1916,-106.3
3/15/1916,-101.1
4/15/1916,-104.1
5/15/1916,-102.8
6/15/1916,-108
7/15/1916,-111.7
8/15/1916,-115.9
9/15/1916,-113.6
10/15/1916,-111.7
11/15/1916,-103.8
12/15/1916,-102.7
1/15/1917,-102.8
2/15/1917,-109.1
3/15/1917,-112.4
4/15/1917,-115.9
5/15/1917,-115.1
6/15/1917,-113.9
7/15/1917,-110.1
8/15/1917,-110.7
9/15/1917,-111.5
10/15/1917,-113.1
11/15/1917,-113.7
12/15/1917,-111.3
1/15/1918,-109.7
2/15/1918,-113.5
3/15/1918,-115.2
4/15/1918,-117.1
5/15/1918,-114.6
6/15/1918,-112.7
7/15/1918,-112.1
